Filename,File Type,File Size (MB),Total HDUs,Instrument,Telescope,Observation Date,Object,Creator
AL1_SOLEXS_20251106_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251106_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251103_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251103_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251203_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251203_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251206_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251206_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251014_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251014_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250925_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250925_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251026_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251026_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250912_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250912_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251202_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251202_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250923_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250923_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251130_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251130_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251110_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251110_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251216_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251216_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251012_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251012_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251211_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251211_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251025_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251025_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250918_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250918_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251105_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251105_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251027_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251027_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251112_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251112_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251031_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251031_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251017_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251017_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251205_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251205_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250915_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250915_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250913_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250913_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251018_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251018_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251119_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251119_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251008_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251008_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251125_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251125_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251108_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251108_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251207_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251207_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251109_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251109_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251123_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251123_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251204_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251204_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251107_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251107_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251011_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251011_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251129_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251129_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251128_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251128_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251118_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251118_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250930_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250930_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251124_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251124_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251126_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251126_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251007_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251007_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251010_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251010_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251210_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251210_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251023_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251023_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251104_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251104_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250920_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250920_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251009_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251009_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251212_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251212_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251013_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251013_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251114_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251114_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251201_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251201_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250911_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250911_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251113_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251113_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251122_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251122_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251217_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251217_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251121_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251121_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
