HEL1OS Observation,SoLEXS Observation,HEL1OS Event Start (MJD),HEL1OS Event End (MJD),HEL1OS HK Start (MJD),HEL1OS HK End (MJD),SoLEXS LC Start (Unix),SoLEXS LC End (Unix),SoLEXS GTI Start (Unix),SoLEXS GTI End (Unix)
HLS_20240624_000006_5107sec_lev1_V111,AL1_SLX_L1_20240305_v1.0,60485.00007412901,60485.059100448096,60485.00007412901,60485.05919052782,1709596800.0,1709683199.0,1709596801.0,1709683199.0
HLS_20240624_012528_38058sec_lev1_V111,AL1_SLX_L1_20240310_v1.0,60485.059356099766,60485.49984659753,60485.059356099766,60485.49984659754,1710028800.0,1710115199.0,1710028801.0,1710115199.0
HLS_20240624_115954_15118sec_lev1_V111,AL1_SLX_L1_20240311_v1.0,60485.49993111122,60485.67482083678,60485.49993111122,60485.67491778991,1710115200.0,1710201599.0,1710115201.0,1710201599.0
HLS_20240624_115954_43194sec_lev1_V111,AL1_SLX_L1_20240312_v1.0,60485.49993111122,60485.99970771274,60485.49993111122,60485.99986793051,1710201600.0,1710287999.0,1710201601.0,1710287999.0
HLS_20240624_161205_28063sec_lev1_V111,AL1_SLX_L1_20240315_v1.0,60485.67506129738,60485.99970771274,60485.67506129738,60485.99986793051,1710460800.0,1710547199.0,1710460801.0,1710547199.0
HLS_20240624_235950_43200sec_lev1_V111,AL1_SLX_L1_20240316_v1.0,60485.99988999375,60486.49979936756,60485.99988999375,60486.4998960955,1710547200.0,1710633599.0,1710547201.0,1710633599.0
HLS_20240625_012549_38041sec_lev1_V111,AL1_SLX_L1_20240317_v1.0,60486.05961770823,60486.49979936756,60486.059598711414,60486.4998960955,1710633600.0,1710719999.0,1710633601.0,1710719999.0
HLS_20240625_120005_43184sec_lev1_V111,AL1_SLX_L1_20240320_v1.0,60486.50006030849,60486.99968757713,60486.50006030849,60486.99988434845,1710892800.0,1710979199.0,1710892805.0,1710979199.0
HLS_20240625_120005_4892sec_lev1_V111,AL1_SLX_L1_20240321_v1.0,60486.50006030849,60486.55663909296,60486.50006030849,60486.55668954611,1710979200.0,1711065599.0,1710979201.0,1711065599.0
HLS_20240625_161249_28020sec_lev1_V111,AL1_SLX_L1_20240322_v1.0,60486.67557113662,60486.99968757713,60486.67557113662,60486.99988434845,1711065600.0,1711151999.0,1711065601.0,1711151999.0
