,dominant_frequency,spectral_centroid,spectral_bandwidth,spectral_entropy,spectral_energy,low_high_frequency_ratio,peak_frequency_magnitude,spectrum_std,spectrum_dynamic_range,spectral_rolloff,spectral_flatness
dominant_frequency,1.0,0.2509777368887438,-0.21189421527440563,-0.5782802894959059,0.9985754867305535,-0.1867294577459314,0.4514264240722835,0.9852920888376434,0.4495920538650677,0.21699425199859257,0.3426437882767845
spectral_centroid,0.2509777368887438,1.0,-0.9991929965063985,0.6445900369076755,0.19897076813961553,-0.9978321325164571,-0.7504501245289643,0.08187710344799022,-0.7518065408878867,0.9993891049953718,0.9953917594931747
spectral_bandwidth,-0.21189421527440563,-0.9991929965063985,1.0,-0.6747783569689599,-0.15944671240317287,0.9996702666014674,0.7763917022866953,-0.041779290661789155,0.7776850333841734,-0.9999863679190688,-0.9907368256803046
spectral_entropy,-0.5782802894959059,0.6445900369076755,-0.6747783569689599,1.0,-0.6209874112958953,-0.6935067256989751,-0.9890302039323028,-0.7091842862601724,-0.9887246108700697,0.6709155907049945,0.5683075747434977
spectral_energy,0.9985754867305535,0.19897076813961553,-0.15944671240317287,-0.6209874112958953,1.0,-0.1340446790189493,0.4983944904254458,0.9930061418246799,0.4966121238752086,0.16459922959260423,0.2920283872082991
low_high_frequency_ratio,-0.1867294577459314,-0.9978321325164571,0.9996702666014674,-0.6935067256989751,-0.1340446790189493,1.0,0.7923192573034645,-0.016109966356880556,0.793571165146775,-0.9995225617143015,-0.9869231823071504
peak_frequency_magnitude,0.4514264240722835,-0.7504501245289643,0.7763917022866953,-0.9890302039323028,0.4983944904254458,0.7923192573034645,1.0,0.5972632949516931,0.9999978891216608,-0.7730902697096322,-0.6836143551270717
spectrum_std,0.9852920888376434,0.08187710344799022,-0.041779290661789155,-0.7091842862601724,0.9930061418246799,-0.016109966356880556,0.5972632949516931,1.0,0.5956140796414485,0.04699565379546018,0.1770696716210803
spectrum_dynamic_range,0.4495920538650677,-0.7518065408878867,0.7776850333841734,-0.9887246108700697,0.4966121238752086,0.793571165146775,0.9999978891216608,0.5956140796414485,1.0,-0.7743919196788751,-0.6851125142888118
spectral_rolloff,0.21699425199859257,0.9993891049953718,-0.9999863679190688,0.6709155907049945,0.16459922959260423,-0.9995225617143015,-0.7730902697096322,0.04699565379546018,-0.7743919196788751,1.0,0.9914323773498175
spectral_flatness,0.3426437882767845,0.9953917594931747,-0.9907368256803046,0.5683075747434977,0.2920283872082991,-0.9869231823071504,-0.6836143551270717,0.1770696716210803,-0.6851125142888118,0.9914323773498175,1.0
