,soft_mean,soft_median,soft_max,soft_std,soft_rms,soft_skewness,soft_kurtosis,soft_signal_energy,soft_integrated_flux,soft_rise_rate,soft_decay_rate,soft_num_peaks,soft_average_peak_height
soft_mean,1.0,,-0.9402154583986274,-0.4671271979247668,0.5521090826971156,-0.7255197894908936,-0.7791416383389131,-0.928894513108693,-0.9094168671834367,-0.9402154583986273,-0.9402154583986272,-0.8962656677799102,0.9150757810619825
soft_median,,,,,,,,,,,,,
soft_max,-0.9402154583986274,,1.0,0.7403378877378958,-0.23513527454150518,0.916532678621126,0.9460530182294833,0.7472289961156603,0.7134053311507551,1.0,1.0,0.6916295136539807,-0.7230185433070634
soft_std,-0.4671271979247668,,0.7403378877378958,1.0,0.4793077026997052,0.9474108249436853,0.9182109871753974,0.10645701831838676,0.05709127381739189,0.740337887737896,0.7403378877378962,0.026516195569232816,-0.07087888469537841
soft_rms,0.5521090826971156,,-0.23513527454150518,0.4793077026997052,1.0,0.17323683507334572,0.09247699343401491,-0.8216338570850501,-0.848851163836377,-0.23513527454150332,-0.2351352745415032,-0.8646289140682606,0.8414667859965149
soft_skewness,-0.7255197894908936,,0.916532678621126,0.9474108249436853,0.17323683507334572,1.0,0.9966802294264635,0.41905984426478254,0.3735868146737776,0.9165326786211259,0.9165326786211261,0.3450290946638018,-0.3863664379999396
soft_kurtosis,-0.7791416383389131,,0.9460530182294833,0.9182109871753974,0.09247699343401491,0.9966802294264635,1.0,0.49159077061387263,0.447867429451871,0.9460530182294832,0.9460530182294833,0.4202998245400195,-0.46017720676490326
soft_signal_energy,-0.928894513108693,,0.7472289961156603,0.10645701831838676,-0.8216338570850501,0.41905984426478254,0.49159077061387263,1.0,0.9987733036687724,0.7472289961156603,0.7472289961156603,0.9967905222287508,-0.9993620812832199
soft_integrated_flux,-0.9094168671834367,,0.7134053311507551,0.05709127381739189,-0.848851163836377,0.3735868146737776,0.447867429451871,0.9987733036687724,1.0,0.7134053311507551,0.7134053311507549,0.9995317638362892,-0.9999045601350611
soft_rise_rate,-0.9402154583986273,,1.0,0.740337887737896,-0.23513527454150332,0.9165326786211259,0.9460530182294832,0.7472289961156603,0.7134053311507551,1.0,0.9999999999999999,0.6916295136539806,-0.7230185433070634
soft_decay_rate,-0.9402154583986272,,1.0,0.7403378877378962,-0.2351352745415032,0.9165326786211261,0.9460530182294833,0.7472289961156603,0.7134053311507549,0.9999999999999999,1.0,0.6916295136539805,-0.7230185433070633
soft_num_peaks,-0.8962656677799102,,0.6916295136539807,0.026516195569232816,-0.8646289140682606,0.3450290946638018,0.4202998245400195,0.9967905222287508,0.9995317638362892,0.6916295136539806,0.6916295136539805,1.0,-0.9990136356383964
soft_average_peak_height,0.9150757810619825,,-0.7230185433070634,-0.07087888469537841,0.8414667859965149,-0.3863664379999396,-0.46017720676490326,-0.9993620812832199,-0.9999045601350611,-0.7230185433070634,-0.7230185433070633,-0.9990136356383964,1.0
