Feature 1,Feature 2,Correlation
wavelet_energy_level_3,wavelet_energy_level_4,0.9999999416086034
wavelet_energy_level_4,detail_energy,0.9999991354358185
wavelet_energy_level_3,detail_energy,0.9999986276756413
wavelet_energy_level_1,wavelet_energy_level_3,0.9999964669005297
wavelet_energy_level_1,wavelet_energy_level_4,0.9999955000992085
wavelet_energy_level_1,detail_energy,0.9999906906979272
wavelet_energy_level_2,detail_energy,0.9999427325391631
wavelet_energy_level_2,wavelet_energy_level_4,0.9999277953621566
wavelet_energy_level_2,wavelet_energy_level_3,0.9999236304059453
wavelet_total_energy,wavelet_energy_level_0,0.9999048166130657
wavelet_energy_level_1,wavelet_energy_level_2,0.9998872457518367
wavelet_total_energy,wavelet_energy_level_1,0.999102785854581
wavelet_total_energy,wavelet_energy_level_3,0.9989866767233561
wavelet_total_energy,wavelet_energy_level_4,0.9989712379645226
wavelet_total_energy,detail_energy,0.9989107429920653
wavelet_energy_level_0,wavelet_energy_level_1,0.9984233677235171
wavelet_total_energy,wavelet_energy_level_2,0.9983541654059589
wavelet_energy_level_0,wavelet_energy_level_3,0.9982706289670799
wavelet_energy_level_0,wavelet_energy_level_4,0.9982504815681285
wavelet_energy_level_0,detail_energy,0.9981718689909272
wavelet_energy_level_0,wavelet_energy_level_2,0.9974678871435045
wavelet_energy_level_0,detail_std,0.9643977133213476
wavelet_total_energy,detail_std,0.9606572124627857
wavelet_energy_level_1,detail_std,0.9480328139827573
wavelet_energy_level_3,detail_std,0.947183688637121
wavelet_energy_level_4,detail_std,0.9470740418180627
detail_std,detail_energy,0.9466510999091879
wavelet_energy_level_2,detail_std,0.9431480754655435
