,dominant_frequency,spectral_centroid,spectral_bandwidth,spectral_entropy,spectral_energy,low_high_frequency_ratio,peak_frequency_magnitude,spectrum_std,spectrum_dynamic_range,spectral_rolloff,spectral_flatness
dominant_frequency,1.0,0.14454452120234776,0.002115685936278989,0.17914460962262718,-0.051265145587502135,-0.03795035129217618,-0.09207123480627545,-0.04042846210986431,-0.09214816867664022,0.2251506846952563,0.12016334388546969
spectral_centroid,0.14454452120234776,1.0,0.6242101908447882,0.5394056962754905,-0.644804699193108,-0.512583640297842,-0.6360907021224868,-0.5510340970042044,-0.6360098056323409,0.6432035045664389,0.8828353016158205
spectral_bandwidth,0.002115685936278989,0.6242101908447882,1.0,0.017998139432082866,-0.37233203886784194,-0.2182656497456651,-0.33551054131701785,-0.617675901700226,-0.3349034537156002,0.053905917999616575,0.25780904205791816
spectral_entropy,0.17914460962262718,0.5394056962754905,0.017998139432082866,1.0,-0.45951069410025375,-0.271434194220251,-0.6512948542549241,-0.4279550015705248,-0.6514197697993127,0.8581888728960755,0.5605126757785591
spectral_energy,-0.051265145587502135,-0.644804699193108,-0.37233203886784194,-0.45951069410025375,1.0,0.8179263773740135,0.9474704294451232,0.6012573233277677,0.947567247064018,-0.3119896690494218,-0.6852280007610303
low_high_frequency_ratio,-0.03795035129217618,-0.512583640297842,-0.2182656497456651,-0.271434194220251,0.8179263773740135,1.0,0.6684461971874873,0.19867365148234306,0.6688226890915615,-0.21088690666464469,-0.6357948230494128
peak_frequency_magnitude,-0.09207123480627545,-0.6360907021224868,-0.33551054131701785,-0.6512948542549241,0.9474704294451232,0.6684461971874873,1.0,0.714025435572851,0.9999993867069262,-0.44562955060793863,-0.6473505668214887
spectrum_std,-0.04042846210986431,-0.5510340970042044,-0.617675901700226,-0.4279550015705248,0.6012573233277677,0.19867365148234306,0.714025435572851,1.0,0.713276051231475,-0.27665337326945566,-0.37680588916427693
spectrum_dynamic_range,-0.09214816867664022,-0.6360098056323409,-0.3349034537156002,-0.6514197697993127,0.947567247064018,0.6688226890915615,0.9999993867069262,0.713276051231475,1.0,-0.44580302390972915,-0.647558594448428
spectral_rolloff,0.2251506846952563,0.6432035045664389,0.053905917999616575,0.8581888728960755,-0.3119896690494218,-0.21088690666464469,-0.44562955060793863,-0.27665337326945566,-0.44580302390972915,1.0,0.6175572786374373
spectral_flatness,0.12016334388546969,0.8828353016158205,0.25780904205791816,0.5605126757785591,-0.6852280007610303,-0.6357948230494128,-0.6473505668214887,-0.37680588916427693,-0.647558594448428,0.6175572786374373,1.0
