Feature 1,Feature 2,Correlation
peak_frequency_magnitude,spectrum_dynamic_range,0.9999978891216608
spectral_bandwidth,spectral_rolloff,0.9999863679190688
spectral_bandwidth,low_high_frequency_ratio,0.9996702666014674
low_high_frequency_ratio,spectral_rolloff,0.9995225617143015
spectral_centroid,spectral_rolloff,0.9993891049953718
spectral_centroid,spectral_bandwidth,0.9991929965063985
dominant_frequency,spectral_energy,0.9985754867305535
spectral_centroid,low_high_frequency_ratio,0.9978321325164571
spectral_centroid,spectral_flatness,0.9953917594931747
spectral_energy,spectrum_std,0.9930061418246799
spectral_rolloff,spectral_flatness,0.9914323773498175
spectral_bandwidth,spectral_flatness,0.9907368256803046
spectral_entropy,peak_frequency_magnitude,0.9890302039323028
spectral_entropy,spectrum_dynamic_range,0.9887246108700697
low_high_frequency_ratio,spectral_flatness,0.9869231823071504
dominant_frequency,spectrum_std,0.9852920888376434
