,hard_mean,hard_median,hard_max,hard_std,hard_rms,hard_skewness,hard_kurtosis,hard_signal_energy,hard_integrated_flux,hard_rise_rate,hard_decay_rate,hard_num_peaks,hard_average_peak_height,hard_peak_prominence_mean,hard_burst_factor
hard_mean,1.0,0.8788049708440446,0.08420888850910127,0.8775376136525048,0.9878490260060133,-0.868346499907594,-0.613969306693792,-0.3196336881625047,-0.7966570343667461,0.2907205895916867,0.07241735006117178,-0.7301830611527499,0.857028381057129,0.8312115988686736,-0.9410358235055974
hard_median,0.8788049708440446,1.0,-0.007441868694300838,0.5671139180788686,0.802938467749476,-0.6138358579651786,-0.3658567496860444,-0.3179305513238997,-0.5667692870804342,0.40329402354424015,0.024782820290937053,-0.4690456237176625,0.5770777255467232,0.5386193770938623,-0.6869032885864202
hard_max,0.08420888850910127,-0.007441868694300838,1.0,0.17727014960572007,0.11823299853470931,-0.22221996094188276,-0.3261721255083096,0.3010778822830691,0.037406698223549764,-0.005757151609471689,0.1132785757012283,-0.204606399026692,0.2181180865307653,0.2169022885660078,-0.14332176363463187
hard_std,0.8775376136525048,0.5671139180788686,0.17727014960572007,1.0,0.9411841476764191,-0.9711689997234636,-0.8196137976017324,-0.17046088833829737,-0.8284246849387076,0.14639989926347807,0.1254922178247096,-0.8944789447311818,0.9804735709654674,0.9769996251931807,-0.9847189063048765
hard_rms,0.9878490260060133,0.802938467749476,0.11823299853470931,0.9411841476764191,1.0,-0.9266045292863901,-0.6983744906012348,-0.28144844658053136,-0.8302039307169328,0.2510153772513262,0.09009065489892368,-0.8056903976948255,0.9224153304911811,0.9031503210415013,-0.9813906277263857
hard_skewness,-0.868346499907594,-0.6138358579651786,-0.22221996094188276,-0.9711689997234636,-0.9266045292863901,1.0,0.904026007934068,0.13508841698231844,0.7957408297386177,-0.20589963684493295,-0.10091250666671872,0.9341011386400737,-0.9820645002337648,-0.9782978718156484,0.9666921851785913
hard_kurtosis,-0.613969306693792,-0.3658567496860444,-0.3261721255083096,-0.8196137976017324,-0.6983744906012348,0.904026007934068,1.0,-0.03342888566987305,0.6091118092634401,-0.16259771496191033,-0.050072579451908454,0.9052748673241184,-0.8514738407574036,-0.8613170052124652,0.7729186618233073
hard_signal_energy,-0.3196336881625047,-0.3179305513238997,0.3010778822830691,-0.17046088833829737,-0.28144844658053136,0.13508841698231844,-0.03342888566987305,1.0,0.663338171524297,0.06064536829566807,0.25363072514325086,0.24639931349513003,-0.14783489780678816,-0.14146413561069576,0.22629865307332334
hard_integrated_flux,-0.7966570343667461,-0.5667692870804342,0.037406698223549764,-0.8284246849387076,-0.8302039307169328,0.7957408297386177,0.6091118092634401,0.663338171524297,1.0,-0.04788955712429357,0.04919632190157835,0.844412368305424,-0.8164187274749118,-0.8127605902220075,0.8389857366279031
hard_rise_rate,0.2907205895916867,0.40329402354424015,-0.005757151609471689,0.14639989926347807,0.2510153772513262,-0.20589963684493295,-0.16259771496191033,0.06064536829566807,-0.04788955712429357,1.0,-0.1060058682669711,-0.06693414121214111,0.1334029505320514,0.11223955448770342,-0.21453628896428786
hard_decay_rate,0.07241735006117178,0.024782820290937053,0.1132785757012283,0.1254922178247096,0.09009065489892368,-0.10091250666671872,-0.050072579451908454,0.25363072514325086,0.04919632190157835,-0.1060058682669711,1.0,-0.03054510757162472,0.11521691214370533,0.11696520096937595,-0.10999031219564095
hard_num_peaks,-0.7301830611527499,-0.4690456237176625,-0.204606399026692,-0.8944789447311818,-0.8056903976948255,0.9341011386400737,0.9052748673241184,0.24639931349513003,0.844412368305424,-0.06693414121214111,-0.03054510757162472,1.0,-0.9301191759627294,-0.9367814665276273,0.8604871535869956
hard_average_peak_height,0.857028381057129,0.5770777255467232,0.2181180865307653,0.9804735709654674,0.9224153304911811,-0.9820645002337648,-0.8514738407574036,-0.14783489780678816,-0.8164187274749118,0.1334029505320514,0.11521691214370533,-0.9301191759627294,1.0,0.9983371449298404,-0.9685533131984438
hard_peak_prominence_mean,0.8312115988686736,0.5386193770938623,0.2169022885660078,0.9769996251931807,0.9031503210415013,-0.9782978718156484,-0.8613170052124652,-0.14146413561069576,-0.8127605902220075,0.11223955448770342,0.11696520096937595,-0.9367814665276273,0.9983371449298404,1.0,-0.9572109157274142
hard_burst_factor,-0.9410358235055974,-0.6869032885864202,-0.14332176363463187,-0.9847189063048765,-0.9813906277263857,0.9666921851785913,0.7729186618233073,0.22629865307332334,0.8389857366279031,-0.21453628896428786,-0.10999031219564095,0.8604871535869956,-0.9685533131984438,-0.9572109157274142,1.0
