Feature,Missing Values,Missing Percentage
solexs_observation_id,0,0.0
hel1os_observation_id,0,0.0
soft_mean,0,0.0
soft_median,0,0.0
soft_max,0,0.0
soft_std,0,0.0
soft_rms,0,0.0
soft_skewness,0,0.0
soft_kurtosis,0,0.0
soft_signal_energy,0,0.0
soft_integrated_flux,0,0.0
soft_rise_rate,0,0.0
soft_decay_rate,0,0.0
soft_num_peaks,0,0.0
soft_average_peak_height,0,0.0
hard_mean,0,0.0
hard_median,0,0.0
hard_max,0,0.0
hard_std,0,0.0
hard_rms,0,0.0
hard_skewness,0,0.0
hard_kurtosis,0,0.0
hard_signal_energy,0,0.0
hard_integrated_flux,0,0.0
hard_rise_rate,0,0.0
hard_decay_rate,0,0.0
hard_num_peaks,0,0.0
hard_average_peak_height,0,0.0
hard_peak_prominence_mean,0,0.0
hard_burst_factor,0,0.0
trend_slope,0,0.0
trend_r2,0,0.0
autocorr_lag1,0,0.0
autocorr_lag5,0,0.0
autocorr_lag10,0,0.0
zero_crossing_rate,0,0.0
peak_density,0,0.0
longest_rising_streak,0,0.0
longest_falling_streak,0,0.0
energy_growth,0,0.0
rolling_std,0,0.0
mean_absolute_gradient,0,0.0
duration,0,0.0
signal_energy_density,0,0.0
coefficient_of_variation,0,0.0
dominant_frequency,0,0.0
spectral_centroid,0,0.0
spectral_bandwidth,0,0.0
spectral_entropy,0,0.0
spectral_energy,0,0.0
low_high_frequency_ratio,0,0.0
peak_frequency_magnitude,0,0.0
spectrum_std,0,0.0
spectrum_dynamic_range,0,0.0
spectral_rolloff,0,0.0
spectral_flatness,0,0.0
wavelet_total_energy,0,0.0
wavelet_entropy,0,0.0
dominant_wavelet_scale,0,0.0
wavelet_energy_level_0,0,0.0
wavelet_energy_level_1,0,0.0
wavelet_energy_level_2,0,0.0
wavelet_energy_level_3,0,0.0
wavelet_energy_level_4,0,0.0
wavelet_std,0,0.0
wavelet_rms,0,0.0
detail_std,0,0.0
detail_energy,0,0.0
shannon_entropy,0,0.0
energy_entropy,0,0.0
histogram_entropy,0,0.0
approximate_entropy,0,0.0
entropy_ratio,0,0.0
pearson_correlation,0,0.0
spearman_correlation,0,0.0
maximum_cross_correlation,0,0.0
lag_at_maximum_correlation,0,0.0
covariance,0,0.0
mean_difference,0,0.0
std_difference,0,0.0
rms_difference,0,0.0
