Principal Component,Explained Variance,Cumulative Variance
1,0.42115864323237917,0.42115864323237917
2,0.19328711705510437,0.6144457602874835
3,0.10565749542557097,0.7201032557130546
4,0.06079071764111261,0.7808939733541672
5,0.03468049902381278,0.81557447237798
6,0.02974424444481057,0.8453187168227906
7,0.021472813199531978,0.8667915300223226
8,0.020482998740604597,0.8872745287629271
9,0.015715731216135714,0.9029902599790628
10,0.013302215797054002,0.9162924757761168
11,0.012377224543060788,0.9286697003191776
12,0.010150814662853634,0.9388205149820312
13,0.0091853968936391,0.9480059118756703
14,0.0082559307517591,0.9562618426274294
15,0.007193558844873609,0.963455401472303
16,0.006537120416813673,0.9699925218891167
17,0.005908011005018437,0.9759005328941351
18,0.005522290480749976,0.9814228233748851
19,0.003314023319940855,0.984736846694826
20,0.0028852846637833726,0.9876221313586093
21,0.0026473615994209968,0.9902694929580304
22,0.001940007145912173,0.9922095001039425
23,0.0015891594549691844,0.9937986595589117
24,0.0011643213651668556,0.9949629809240785
25,0.0010945060507981342,0.9960574869748766
26,0.0009045096716846423,0.9969619966465613
27,0.0007297856044215913,0.9976917822509829
28,0.0005212657322438576,0.9982130479832267
29,0.00044765654445468874,0.9986607045276814
30,0.0002988789345218071,0.9989595834622033
31,0.00023044188002399078,0.9991900253422272
32,0.00021226653118800395,0.9994022918734152
33,0.0001893206257777204,0.9995916124991929
34,0.00012477541060917802,0.9997163879098021
35,8.151686052876768e-05,0.9997979047703309
36,4.9778059053010776e-05,0.999847682829384
37,4.685977388631308e-05,0.9998945426032703
38,2.8916069081069694e-05,0.9999234586723513
39,2.563975513088465e-05,0.9999490984274823
40,1.3292515729073275e-05,0.9999623909432114
41,9.7753921480072e-06,0.9999721663353593
42,8.483133022402975e-06,0.9999806494683817
43,5.505427746739856e-06,0.9999861548961284
44,4.191397338382712e-06,0.9999903462934668
45,3.7793008882989465e-06,0.9999941255943552
46,2.432852763248043e-06,0.9999965584471184
47,2.021524699576192e-06,0.999998579971818
48,1.4200281821834052e-06,1.0000000000000002
49,2.2052799066896806e-33,1.0000000000000002
