,soft_mean,soft_median,soft_max,soft_std,soft_rms,soft_skewness,soft_kurtosis,soft_signal_energy,soft_integrated_flux,soft_rise_rate,soft_decay_rate,soft_num_peaks,soft_average_peak_height
soft_mean,1.0,0.2274196022125161,0.7309043146206996,0.9564319232595638,0.9767653492263779,-0.003010112769484703,-0.050641276370438144,0.913764876322762,0.8509511844989284,0.6843418164239334,0.723143872758985,-0.2552185296061193,0.8507139908533151
soft_median,0.2274196022125161,1.0,0.08780457176000599,0.046951833761577154,0.11525354436267678,-0.11815854372215522,-0.07721362841361891,-0.03167889885357188,0.07619421982884815,0.2281736698526139,0.2332341042660828,-0.3879809505326738,0.05493137645253814
soft_max,0.7309043146206996,0.08780457176000599,1.0,0.8649546624359523,0.8425898427096818,0.37247495667101005,0.2389919143550075,0.7391821773466964,0.842396843686251,0.9588602893280589,0.9622662420214301,-0.2535625272626959,0.9629149808775735
soft_std,0.9564319232595638,0.046951833761577154,0.8649546624359523,1.0,0.9963409250701827,0.11479414922787665,0.02685954915282802,0.9410013155931735,0.8973150517998542,0.7874060048364387,0.8163454375155043,-0.21381787647464628,0.9526738009773515
soft_rms,0.9767653492263779,0.11525354436267678,0.8425898427096818,0.9963409250701827,1.0,0.08432932336285952,0.005516701932695483,0.9392001983854124,0.8931346523738869,0.7742304034329557,0.8059300426126205,-0.23434624580992586,0.9365616261880038
soft_skewness,-0.003010112769484703,-0.11815854372215522,0.37247495667101005,0.11479414922787665,0.08432932336285952,1.0,0.9286515824658301,0.05683724893029626,0.26750365818283034,0.4647152613095844,0.4558441348986249,0.21365154313015178,0.2302806738994886
soft_kurtosis,-0.050641276370438144,-0.07721362841361891,0.2389919143550075,0.02685954915282802,0.005516701932695483,0.9286515824658301,1.0,0.0005009780751817763,0.14768490306873513,0.33505370315492944,0.3319461526114655,0.11835006581226286,0.09776729579992058
soft_signal_energy,0.913764876322762,-0.03167889885357188,0.7391821773466964,0.9410013155931735,0.9392001983854124,0.05683724893029626,0.0005009780751817763,1.0,0.8833434175099925,0.6216555865308646,0.66804639586281,-0.14339308377063553,0.839830734631252
soft_integrated_flux,0.8509511844989284,0.07619421982884815,0.842396843686251,0.8973150517998542,0.8931346523738869,0.26750365818283034,0.14768490306873513,0.8833434175099925,1.0,0.8234584816023064,0.8540817238032739,-0.2094658898068925,0.8855321146792261
soft_rise_rate,0.6843418164239334,0.2281736698526139,0.9588602893280589,0.7874060048364387,0.7742304034329557,0.4647152613095844,0.33505370315492944,0.6216555865308646,0.8234584816023064,1.0,0.9935352316230914,-0.31892378101162105,0.9057347170903918
soft_decay_rate,0.723143872758985,0.2332341042660828,0.9622662420214301,0.8163454375155043,0.8059300426126205,0.4558441348986249,0.3319461526114655,0.66804639586281,0.8540817238032739,0.9935352316230914,1.0,-0.31391826309753984,0.9173940733155639
soft_num_peaks,-0.2552185296061193,-0.3879809505326738,-0.2535625272626959,-0.21381787647464628,-0.23434624580992586,0.21365154313015178,0.11835006581226286,-0.14339308377063553,-0.2094658898068925,-0.31892378101162105,-0.31391826309753984,1.0,-0.24186486116116623
soft_average_peak_height,0.8507139908533151,0.05493137645253814,0.9629149808775735,0.9526738009773515,0.9365616261880038,0.2302806738994886,0.09776729579992058,0.839830734631252,0.8855321146792261,0.9057347170903918,0.9173940733155639,-0.24186486116116623,1.0
