Feature 1,Feature 2,Correlation
soft_max,soft_decay_rate,1.0
soft_max,soft_rise_rate,1.0
soft_rise_rate,soft_decay_rate,0.9999999999999999
soft_integrated_flux,soft_average_peak_height,0.9999045601350611
soft_integrated_flux,soft_num_peaks,0.9995317638362892
soft_signal_energy,soft_average_peak_height,0.9993620812832199
soft_num_peaks,soft_average_peak_height,0.9990136356383964
soft_signal_energy,soft_integrated_flux,0.9987733036687724
soft_signal_energy,soft_num_peaks,0.9967905222287508
soft_skewness,soft_kurtosis,0.9966802294264635
soft_std,soft_skewness,0.9474108249436853
soft_kurtosis,soft_decay_rate,0.9460530182294833
soft_max,soft_kurtosis,0.9460530182294833
soft_kurtosis,soft_rise_rate,0.9460530182294832
soft_mean,soft_max,0.9402154583986274
soft_mean,soft_rise_rate,0.9402154583986273
soft_mean,soft_decay_rate,0.9402154583986272
soft_mean,soft_signal_energy,0.928894513108693
soft_std,soft_kurtosis,0.9182109871753974
soft_skewness,soft_decay_rate,0.9165326786211261
soft_max,soft_skewness,0.916532678621126
soft_skewness,soft_rise_rate,0.9165326786211259
soft_mean,soft_average_peak_height,0.9150757810619825
soft_mean,soft_integrated_flux,0.9094168671834367
