,trend_slope,trend_r2,autocorr_lag1,autocorr_lag5,autocorr_lag10,zero_crossing_rate,peak_density,longest_rising_streak,longest_falling_streak,energy_growth,rolling_std,duration,signal_energy_density,coefficient_of_variation,peak_frequency_magnitude
trend_slope,1.0,-0.012689080647971803,0.505213568295544,0.49809084378257884,0.5144828894841691,0.27927734491203965,-0.05404127718266211,0.8415657199610639,,-0.1855897670223373,-0.9445824557911633,0.977470370140157,-0.7170355696609056,0.538903048772956,-0.5766812254898145
trend_r2,-0.012689080647971803,1.0,0.8565141762559828,0.8607347265912955,0.8509032932154652,-0.9636769458993184,-0.997772576384298,0.5294325532047889,,-0.9801932396027588,-0.31626193932379615,-0.2234588852124134,0.7060789825706533,0.835461793206868,0.8242210360282599
autocorr_lag1,0.505213568295544,0.8565141762559828,1.0,0.9999661028741442,0.9999419494385954,-0.6875615157745414,-0.8890356462995913,0.8913209064737981,,-0.9417642899404235,-0.7605146977858395,0.31167676456533217,0.23928253121150228,0.9992197820638914,0.413692672859997
autocorr_lag5,0.49809084378257884,0.8607347265912955,0.9999661028741442,1.0,0.9998193377268569,-0.693516882722892,-0.892775191332207,0.8875577759384907,,-0.9445011292973154,-0.7551426346438721,0.3038426762680885,0.2472688890601121,0.998860726021179,0.4211747075487644
autocorr_lag10,0.5144828894841691,0.8509032932154652,0.9999419494385954,0.9998193377268569,1.0,-0.6796976901265196,-0.8840508940217933,0.8961541980252877,,-0.9380863153595224,-0.7674668936758141,0.321896822653828,0.22880678405850327,0.9995873263510604,0.4038590403165859
zero_crossing_rate,0.27927734491203965,-0.9636769458993184,-0.6875615157745414,-0.693516882722892,-0.6796976901265196,1.0,0.9437148217374064,-0.28363199827330865,,0.8916980268808278,0.05141189610126518,0.4756595272465863,-0.8695536173067923,-0.6583469727072518,-0.9455164417830009
peak_density,-0.05404127718266211,-0.997772576384298,-0.8890356462995913,-0.892775191332207,-0.8840508940217933,0.9437148217374064,1.0,-0.5848446957172578,,0.9912209112699683,0.37884098748810624,0.15794049104604718,-0.6572684827631703,-0.8702598552354341,-0.7846108302426501
longest_rising_streak,0.8415657199610639,0.5294325532047889,0.8913209064737981,0.8875577759384907,0.8961541980252877,-0.28363199827330865,-0.5848446957172578,1.0,,-0.686956783473405,-0.9722471061858793,0.7085936489659022,-0.22692494624336865,0.908531286911828,-0.04402533815672966
longest_falling_streak,,,,,,,,,,,,,,,
energy_growth,-0.1855897670223373,-0.9801932396027588,-0.9417642899404235,-0.9445011292973154,-0.9380863153595224,0.8916980268808278,0.9912209112699683,-0.686956783473405,,1.0,0.49787608395725524,0.025997280626025587,-0.5518527166792675,-0.9277484962870032,-0.6957501707741456
rolling_std,-0.9445824557911633,-0.31626193932379615,-0.7605146977858395,-0.7551426346438721,-0.7674668936758141,0.05141189610126518,0.37884098748810624,-0.9722471061858793,,0.49787608395725524,1.0,-0.8540116372254029,0.44848005817276687,-0.7855660230360179,0.2765329973702349
duration,0.977470370140157,-0.2234588852124134,0.31167676456533217,0.3038426762680885,0.321896822653828,0.4756595272465863,0.15794049104604718,0.7085936489659022,,0.025997280626025587,-0.8540116372254029,1.0,-0.8480064011443438,0.3489609357558468,-0.7361286996937463
signal_energy_density,-0.7170355696609056,0.7060789825706533,0.23928253121150228,0.2472688890601121,0.22880678405850327,-0.8695536173067923,-0.6572684827631703,-0.22692494624336865,,-0.5518527166792675,0.44848005817276687,-0.8480064011443438,1.0,0.20074851195631516,0.9829584055557574
coefficient_of_variation,0.538903048772956,0.835461793206868,0.9992197820638914,0.998860726021179,0.9995873263510604,-0.6583469727072518,-0.8702598552354341,0.908531286911828,,-0.9277484962870032,-0.7855660230360179,0.3489609357558468,0.20074851195631516,1.0,0.3774133205706228
peak_frequency_magnitude,-0.5766812254898145,0.8242210360282599,0.413692672859997,0.4211747075487644,0.4038590403165859,-0.9455164417830009,-0.7846108302426501,-0.04402533815672966,,-0.6957501707741456,0.2765329973702349,-0.7361286996937463,0.9829584055557574,0.3774133205706228,1.0
