,trend_slope,trend_r2,autocorr_lag1,autocorr_lag5,autocorr_lag10,zero_crossing_rate,peak_density,longest_rising_streak,longest_falling_streak,energy_growth,rolling_std,duration,signal_energy_density,coefficient_of_variation,peak_frequency_magnitude
trend_slope,1.0,0.32740652431392353,0.20765996346247834,0.20837124145268607,0.20794964355780043,-0.29178018733774214,-0.32409591406213073,-0.034009227653819765,0.08499217483757678,0.87527889384335,0.6125175492290175,-0.12993985008802814,0.8997816298154765,0.16838604480726155,0.8500550329175425
trend_r2,0.32740652431392353,1.0,0.38953462304785286,0.38832331939567377,0.3857315248391379,-0.4822142570565338,-0.31142884785553715,-0.05048096000273521,-0.0006418613406916084,0.19166109983475788,0.5369050407458722,-0.3567760850117376,0.18435635355158275,-0.20663994390603416,0.5523399139689148
autocorr_lag1,0.20765996346247834,0.38953462304785286,1.0,0.9994163137946506,0.9993185885116594,-0.9306906317103305,-0.7740026334339084,0.3466202444674257,0.49408457124768623,0.12950383129317378,0.5795501609858255,0.2989258034053836,0.17185766317032555,0.4293890767217676,0.4389029623799215
autocorr_lag5,0.20837124145268607,0.38832331939567377,0.9994163137946506,1.0,0.9994675413987452,-0.9306905353416541,-0.7756190973546604,0.3448369529527993,0.4985529044804812,0.1305824360646088,0.581511597652987,0.30028618143958247,0.17324286842821662,0.43109752755213065,0.4385281544612002
autocorr_lag10,0.20794964355780043,0.3857315248391379,0.9993185885116594,0.9994675413987452,1.0,-0.9299502793617758,-0.7714987154855307,0.3368916911130183,0.4971860399577587,0.13139078741688937,0.580285868910835,0.303007272957891,0.1742037356461888,0.431499309647828,0.4349785499936623
zero_crossing_rate,-0.29178018733774214,-0.4822142570565338,-0.9306906317103305,-0.9306905353416541,-0.9299502793617758,1.0,0.8696006684202725,-0.37779958989979884,-0.5124566558111143,-0.18787157770436064,-0.7326513182447806,-0.13731682984211188,-0.246511571777815,-0.44836729395494507,-0.5725088769933856
peak_density,-0.32409591406213073,-0.31142884785553715,-0.7740026334339084,-0.7756190973546604,-0.7714987154855307,0.8696006684202725,1.0,-0.48368221080146023,-0.5522538131525689,-0.23054115479136952,-0.6833991022226524,-0.279617180035969,-0.30331099020748487,-0.6245836748313193,-0.5566500962926219
longest_rising_streak,-0.034009227653819765,-0.05048096000273521,0.3466202444674257,0.3448369529527993,0.3368916911130183,-0.37779958989979884,-0.48368221080146023,1.0,0.6184091004589072,-0.009115881434771978,0.31565005150672415,0.055389136365083656,0.07483525608815082,0.5320269203432292,0.08017838068322275
longest_falling_streak,0.08499217483757678,-0.0006418613406916084,0.49408457124768623,0.4985529044804812,0.4971860399577587,-0.5124566558111143,-0.5522538131525689,0.6184091004589072,1.0,0.08163398932595989,0.35070035631043056,0.29647279165000806,0.1427801430156355,0.5030296584770934,0.08465542590860073
energy_growth,0.87527889384335,0.19166109983475788,0.12950383129317378,0.1305824360646088,0.13139078741688937,-0.18787157770436064,-0.23054115479136952,-0.009115881434771978,0.08163398932595989,1.0,0.4896333239074608,-0.05785313354457061,0.9858181737153143,0.17809235926851494,0.6341255902571103
rolling_std,0.6125175492290175,0.5369050407458722,0.5795501609858255,0.581511597652987,0.580285868910835,-0.7326513182447806,-0.6833991022226524,0.31565005150672415,0.35070035631043056,0.4896333239074608,1.0,-0.2764763669544448,0.5751009368366177,0.28658598432656707,0.8089652309069714
duration,-0.12993985008802814,-0.3567760850117376,0.2989258034053836,0.30028618143958247,0.303007272957891,-0.13731682984211188,-0.279617180035969,0.055389136365083656,0.29647279165000806,-0.05785313354457061,-0.2764763669544448,1.0,-0.07010922684890385,0.5029915309336572,-0.2776968604946159
signal_energy_density,0.8997816298154765,0.18435635355158275,0.17185766317032555,0.17324286842821662,0.1742037356461888,-0.246511571777815,-0.30331099020748487,0.07483525608815082,0.1427801430156355,0.9858181737153143,0.5751009368366177,-0.07010922684890385,1.0,0.2733871052358069,0.6901271626542125
coefficient_of_variation,0.16838604480726155,-0.20663994390603416,0.4293890767217676,0.43109752755213065,0.431499309647828,-0.44836729395494507,-0.6245836748313193,0.5320269203432292,0.5030296584770934,0.17809235926851494,0.28658598432656707,0.5029915309336572,0.2733871052358069,1.0,0.1696217817377907
peak_frequency_magnitude,0.8500550329175425,0.5523399139689148,0.4389029623799215,0.4385281544612002,0.4349785499936623,-0.5725088769933856,-0.5566500962926219,0.08017838068322275,0.08465542590860073,0.6341255902571103,0.8089652309069714,-0.2776968604946159,0.6901271626542125,0.1696217817377907,1.0
