,wavelet_total_energy,wavelet_entropy,dominant_wavelet_scale,wavelet_energy_level_0,wavelet_energy_level_1,wavelet_energy_level_2,wavelet_energy_level_3,wavelet_energy_level_4,wavelet_std,wavelet_rms,detail_std,detail_energy
wavelet_total_energy,1.0,0.2910346139042089,,0.9999048166130657,0.999102785854581,0.9983541654059589,0.9989866767233561,0.9989712379645226,0.3437167344668918,-0.7392300596461056,-0.9606572124627857,0.9989107429920653
wavelet_entropy,0.2910346139042089,1.0,,0.27780713204223434,0.33129140744571955,0.3454225644776919,0.3337983526379551,0.3341204677378825,-0.7983897931088731,-0.8594424371409525,-0.013870243102246485,0.33535957141527356
dominant_wavelet_scale,,,,,,,,,,,,
wavelet_energy_level_0,0.9999048166130657,0.27780713204223434,,1.0,0.9984233677235171,0.9974678871435045,0.9982706289670799,0.9982504815681285,0.3566404309052667,-0.7298680541084461,-0.9643977133213476,0.9981718689909272
wavelet_energy_level_1,0.999102785854581,0.33129140744571955,,0.9984233677235171,1.0,0.9998872457518367,0.9999964669005297,0.9999955000992085,0.3036374719232335,-0.7670883472005128,-0.9480328139827573,0.9999906906979272
wavelet_energy_level_2,0.9983541654059589,0.3454225644776919,,0.9974678871435045,0.9998872457518367,1.0,0.9999236304059453,0.9999277953621566,0.2892956837252688,-0.7766355732363917,-0.9431480754655435,0.9999427325391631
wavelet_energy_level_3,0.9989866767233561,0.3337983526379551,,0.9982706289670799,0.9999964669005297,0.9999236304059453,1.0,0.9999999416086034,0.301103670504694,-0.7687910017700916,-0.947183688637121,0.9999986276756413
wavelet_energy_level_4,0.9989712379645226,0.3341204677378825,,0.9982504815681285,0.9999955000992085,0.9999277953621566,0.9999999416086034,1.0,0.3007777773907252,-0.7690094964313873,-0.9470740418180627,0.9999991354358185
wavelet_std,0.3437167344668918,-0.7983897931088731,,0.3566404309052667,0.3036374719232335,0.2892956837252688,0.301103670504694,0.3007777773907252,1.0,0.37833602356386664,-0.5910091777743532,0.2995234447202324
wavelet_rms,-0.7392300596461056,-0.8594424371409525,,-0.7298680541084461,-0.7670883472005128,-0.7766355732363917,-0.7687910017700916,-0.7690094964313873,0.37833602356386664,1.0,0.5231040243476092,-0.7698494050232583
detail_std,-0.9606572124627857,-0.013870243102246485,,-0.9643977133213476,-0.9480328139827573,-0.9431480754655435,-0.947183688637121,-0.9470740418180627,-0.5910091777743532,0.5231040243476092,1.0,-0.9466510999091879
detail_energy,0.9989107429920653,0.33535957141527356,,0.9981718689909272,0.9999906906979272,0.9999427325391631,0.9999986276756413,0.9999991354358185,0.2995234447202324,-0.7698494050232583,-0.9466510999091879,1.0
