,wavelet_total_energy,wavelet_entropy,dominant_wavelet_scale,wavelet_energy_level_0,wavelet_energy_level_1,wavelet_energy_level_2,wavelet_energy_level_3,wavelet_energy_level_4,wavelet_std,wavelet_rms,detail_std,detail_energy
wavelet_total_energy,1.0,-0.20637936299087983,,0.9999999972199173,0.8727539698340038,0.8614937894868301,0.880167839238293,0.8870769764911123,0.9410434376734621,0.9394552719292177,0.7335383348643426,0.8820086058632446
wavelet_entropy,-0.20637936299087983,1.0,,-0.20634522582279352,-0.40211632652992907,-0.4127745569768166,-0.39799952213870826,-0.39278291905452395,-0.3132897365272653,-0.3435542474411218,-0.6465646672896875,-0.39775923818160563
dominant_wavelet_scale,,,,,,,,,,,,
wavelet_energy_level_0,0.9999999972199173,-0.20634522582279352,,1.0,0.8727193774838109,0.8614559701723121,0.8801324672170266,0.8870425667711079,0.9410326046407935,0.9394449480823104,0.7335159843398004,0.8819734651840317
wavelet_energy_level_1,0.8727539698340038,-0.40211632652992907,,0.8727193774838109,1.0,0.9857476843046948,0.9859290412510755,0.9866103036691083,0.8898293803735803,0.8815872800883335,0.7735474353211726,0.9883722539429175
wavelet_energy_level_2,0.8614937894868301,-0.4127745569768166,,0.8614559701723121,0.9857476843046948,1.0,0.9990029305585751,0.9981808189719463,0.8878769243969171,0.8835856756092171,0.7907016028596109,0.9988341169986317
wavelet_energy_level_3,0.880167839238293,-0.39799952213870826,,0.8801324672170266,0.9859290412510755,0.9990029305585751,1.0,0.9997573948292732,0.8989210905768963,0.8943983346146276,0.7896485796201976,0.9998384579983207
wavelet_energy_level_4,0.8870769764911123,-0.39278291905452395,,0.8870425667711079,0.9866103036691083,0.9981808189719463,0.9997573948292732,1.0,0.8999581705828192,0.8957113033067766,0.787280540982101,0.9998508610456245
wavelet_std,0.9410434376734621,-0.3132897365272653,,0.9410326046407935,0.8898293803735803,0.8878769243969171,0.8989210905768963,0.8999581705828192,1.0,0.9963273831148285,0.8535754573953076,0.8984527047391115
wavelet_rms,0.9394552719292177,-0.3435542474411218,,0.9394449480823104,0.8815872800883335,0.8835856756092171,0.8943983346146276,0.8957113033067766,0.9963273831148285,1.0,0.8845681512010023,0.8938340879188705
detail_std,0.7335383348643426,-0.6465646672896875,,0.7335159843398004,0.7735474353211726,0.7907016028596109,0.7896485796201976,0.787280540982101,0.8535754573953076,0.8845681512010023,1.0,0.7882214247987668
detail_energy,0.8820086058632446,-0.39775923818160563,,0.8819734651840317,0.9883722539429175,0.9988341169986317,0.9998384579983207,0.9998508610456245,0.8984527047391115,0.8938340879188705,0.7882214247987668,1.0
