Feature 1,Feature 2,Correlation
wavelet_total_energy,wavelet_energy_level_0,0.9999999972199173
wavelet_energy_level_4,detail_energy,0.9998508610456245
wavelet_energy_level_3,detail_energy,0.9998384579983207
wavelet_energy_level_3,wavelet_energy_level_4,0.9997573948292732
wavelet_energy_level_2,wavelet_energy_level_3,0.9990029305585751
wavelet_energy_level_2,detail_energy,0.9988341169986317
wavelet_energy_level_2,wavelet_energy_level_4,0.9981808189719463
wavelet_std,wavelet_rms,0.9963273831148285
wavelet_energy_level_1,detail_energy,0.9883722539429175
wavelet_energy_level_1,wavelet_energy_level_4,0.9866103036691083
wavelet_energy_level_1,wavelet_energy_level_3,0.9859290412510755
wavelet_energy_level_1,wavelet_energy_level_2,0.9857476843046948
wavelet_total_energy,wavelet_std,0.9410434376734621
wavelet_energy_level_0,wavelet_std,0.9410326046407935
wavelet_total_energy,wavelet_rms,0.9394552719292177
wavelet_energy_level_0,wavelet_rms,0.9394449480823104
